date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:01	2795/2795	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/settings.min.js?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/settings.min30ad.js	(from https://fornet.net.br/)
19:00:01	3410/3410	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Oct%202022%2001:05:20%20GMT	https://fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/fix-background-loop.min.js?ver=2.7.10	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/dynamic-content-for-elementor/assets/js/fix-background-loop.min30ad.js	(from https://fornet.net.br/)
19:00:02	8291/8291	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2002:30:29%20GMT	https://fornet.net.br/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/wp-rocket/assets/js/lazyload/17.5/lazyload.min.js	(from https://fornet.net.br/)
19:00:02	212156/212156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.17.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1ecc.eot	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1699971091)
19:00:02	93444/93444	---M--	200	added ('OK')	font/woff2	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.17.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1ecc.woff2	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1699971091)
19:00:02	114588/114588	---M--	200	added ('OK')	font/woff	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.17.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1ecc.woff	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1699971091)
19:00:03	211996/211996	---M--	200	added ('OK')	font/ttf	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.17.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1ecc.ttf	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1699971091)
19:00:03	319546/319546	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.17.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1ecc.svg	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1699971091)
19:00:03	56564/56564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2017:11:03%20GMT	https://fornet.net.br/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/fonts/dashicons7d4b.eot	(from https://fornet.net.br/wp-content/cache/min/1/wp-includes/css/dashicons.min.css?ver=1699971091)
19:00:04	278496/278496	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Oct%202022%2002:22:31%20GMT	https://fornet.net.br/wp-content/uploads/2022/10/banner-pq-fornet.jpeg	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/uploads/2022/10/banner-pq-fornet.jpg	(from https://fornet.net.br/wp-content/uploads/elementor/css/post-10.css?ver=1699966637)
19:00:04	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1699971091)
19:00:04	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1699971091)
19:00:04	76764/76764	---M--	200	added ('OK')	font/woff2	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1699971091)
19:00:05	90060/90060	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1699971091)
19:00:05	134040/134040	---M--	200	added ('OK')	font/ttf	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from https://fornet.net.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=1699971091)
